"","x"
"1",7.76923076923077
"2",8.05
"3",8.19166666666667
"4",8.31818181818182
"5",8.39545454545454
"6",8.376
"7",8.368
"8",8.264
"9",7.832
"10",7.60869565217391
"11",7.26818181818182
"12",7.32857142857143
"13",7.04090909090909
"14",7
"15",6.95909090909091
"16",6.90476190476191
"17",6.78636363636364
"18",6.83636363636364
"19",6.82
"20",6.82380952380952
"21",6.70434782608696
"22",6.62727272727273
"23",6.65909090909091
"24",6.60454545454545
"25",6.67272727272727
"26",6.55454545454545
"27",6.64090909090909
"28",6.46190476190476
"29",6.60952380952381
"30",6.04782608695652
"31",6.37727272727273
